primary_target,disease,family,n,k,raw_rate,posterior_mean,ci_lo,ci_hi,prior_alpha,prior_beta,own_data_weight
UNKNOWN,hepatocellular carcinoma,unmapped,2,1,0.5,0.4227706336909187,0.11392751257795801,0.7687194183489254,1.1575386604781213,1.9457927645126345,0.3919008650322221
PSMB5,leukemia,proteostasis_immunomodulatory,2,0,0.0,0.18176002068612132,0.023071419093629024,0.4344980067867728,1.4324021069242476,4.4483304189475525,0.253783514848926
TOP1,cancer nos,cytotoxic_chemo,2,1,0.5,0.33846755174540616,0.04087773192380137,0.7422329045384115,0.25931056800784047,1.4613136440143757,0.5375442092586312
TOP2A,cancer nos,cytotoxic_chemo,2,0,0.0,0.06969544711609056,2.103093072354302e-06,0.3286641677286417,0.25931056800784047,1.4613136440143757,0.5375442092586312
KDR,gastric cancer,angiogenesis,2,0,0.0,0.1250773930302326,0.0021874970651416343,0.39999813837021486,0.6705817555284743,2.6907528492500834,0.37304144349009666
PDCD1,colorectal cancer,immune_checkpoint,2,0,0.0,0.12124216059754447,0.002794698871023577,0.37818554879966276,0.7256650443404796,3.259588276484756,0.3341546118091864
VEGFR2,leukemia,angiogenesis,1,0,0.0,0.15375608988903122,0.002805000751724694,0.4803467583873259,0.6705817555284743,2.6907528492500834,0.2292876127652155
VEGFR2,nsclc,angiogenesis,1,0,0.0,0.15375608988903122,0.002805000751724694,0.4803467583873259,0.6705817555284743,2.6907528492500834,0.2292876127652155
VEGFR2,hnscc,angiogenesis,1,0,0.0,0.15375608988903122,0.002805000751724694,0.4803467583873259,0.6705817555284743,2.6907528492500834,0.2292876127652155
VEGFR2,pancreatic cancer,angiogenesis,1,0,0.0,0.15375608988903122,0.002805000751724694,0.4803467583873259,0.6705817555284743,2.6907528492500834,0.2292876127652155
VEGFR2,solid tumors,angiogenesis,1,0,0.0,0.15375608988903122,0.002805000751724694,0.4803467583873259,0.6705817555284743,2.6907528492500834,0.2292876127652155
UNKNOWN,thyroid cancer,unmapped,1,1,1.0,0.5258017052529413,0.15735754642882552,0.8786679693006755,1.1575386604781213,1.9457927645126345,0.24370441878266091
TOP2A,prostate cancer,cytotoxic_chemo,1,0,0.0,0.09531289432107833,3.0946885701619083e-06,0.4422400077196057,0.25931056800784047,1.4613136440143757,0.367562706963013
UNKNOWN,colorectal cancer,unmapped,1,0,0.0,0.28209728647028043,0.02720528275953787,0.6649094150859913,1.1575386604781213,1.9457927645126345,0.24370441878266091
VEGFA,bladder cancer,angiogenesis,1,0,0.0,0.15375608988903122,0.002805000751724694,0.4803467583873259,0.6705817555284743,2.6907528492500834,0.2292876127652155
UNKNOWN,prostate cancer,unmapped,1,1,1.0,0.5258017052529413,0.15735754642882552,0.8786679693006755,1.1575386604781213,1.9457927645126345,0.24370441878266091
UNKNOWN,pancreatic cancer,unmapped,1,1,1.0,0.5258017052529413,0.15735754642882552,0.8786679693006755,1.1575386604781213,1.9457927645126345,0.24370441878266091
VEGFA,glioblastoma,angiogenesis,1,0,0.0,0.15375608988903122,0.002805000751724694,0.4803467583873259,0.6705817555284743,2.6907528492500834,0.2292876127652155
UNKNOWN,glioblastoma,unmapped,1,0,0.0,0.28209728647028043,0.02720528275953787,0.6649094150859913,1.1575386604781213,1.9457927645126345,0.24370441878266091
UNKNOWN,gastric cancer,unmapped,1,0,0.0,0.28209728647028043,0.02720528275953787,0.6649094150859913,1.1575386604781213,1.9457927645126345,0.24370441878266091
