nct_id,canonical_drug,primary_target,disease,mechanism_family,genomic_evidence_coverage,ml_model_probability,hierarchical_base_rate,hierarchical_ci,pair_n_trials_seen,own_data_weight,blended_decision_score,percentile_vs_historical_profiles
NCT01174238,axitinib,VEGFR2,melanoma,angiogenesis,0.78,0.242,0.125,"[0.00, 0.40]",2,0.29,0.159,74.5
NCT00562978,etoposide,TOP2A,lymphoma,cytotoxic_chemo,0.56,0.05,0.045,"[0.00, 0.22]",4,0.39,0.047,0.0
NCT00444678,cetuximab,EGFR,colorectal cancer,growth_factor_kinase,0.89,0.113,0.039,"[0.00, 0.14]",12,0.68,0.09,3.1
NCT01136733,lenvatinib,VEGFR2,renal cell carcinoma,angiogenesis,0.78,0.242,0.235,"[0.07, 0.46]",8,0.55,0.239,74.5
NCT02659020,gemcitabine,RRM1,cancer nos,cytotoxic_chemo,0.33,0.133,0.163,"[0.02, 0.41]",6,0.26,0.155,14.7
NCT02064582,enzalutamide,AR,prostate cancer,hormonal,0.89,0.242,0.217,"[0.07, 0.41]",7,0.44,0.228,85.1
NCT02061085,unmapped,UNKNOWN,breast cancer,unmapped,0.0,0.632,0.445,"[0.17, 0.74]",4,0.0,0.445,92.9
NCT02716974,docetaxel,TUBB,prostate cancer,cytotoxic_chemo,0.33,0.133,0.045,"[0.00, 0.22]",4,0.23,0.066,14.7
NCT00463060,sunitinib,VEGFR2,cancer nos,angiogenesis,0.78,0.242,0.297,"[0.11, 0.52]",9,0.57,0.266,74.5
NCT00942825,cisplatin,DNA,nsclc,cytotoxic_chemo,0.33,0.136,0.039,"[0.00, 0.18]",5,0.25,0.063,29.0
NCT03989115,osimertinib,EGFR,solid tumors,growth_factor_kinase,0.89,0.133,0.13,"[0.00, 0.43]",1,0.19,0.131,14.7
NCT02631590,gemcitabine,RRM1,bladder cancer,cytotoxic_chemo,0.33,0.133,0.095,"[0.00, 0.44]",1,0.12,0.1,14.7
NCT00368355,cyclophosphamide,DNA,leukemia,cytotoxic_chemo,0.33,0.136,0.027,"[0.00, 0.13]",8,0.27,0.057,29.0
